Datum;Starttid;Sluttid;Längd;Kanalnamn;Titel;Titelkod;Genre1;Genre2;Genre3;Rating % A3-99 [OV];Rating % A15-64 [OV];Rating % A15-44 [OV];Rating 000s A3-99 [OV];Rating 000s A15-64 [OV];Rating 000s A15-44 [OV];Share A3-99 [OV];Share A15-64 [OV];Share A15-44 [OV]
2024-08-27;08:54;09:58;65;Kanal5;SOFIAS ÄNGLAR;;Fakta;Konsumentprogram;-;0,117 %;0,052 %;0,010 %;12;3;0;2,594 %;2,650 %;1,842 %
2024-08-27;08:54;08:59;6;SVT1;MORGONSTUDION;1410111-171A;Blandmagasin;Morgonmagasin;-;1,730 %;0,602 %;0,195 %;177;39;8;36,119 %;28,531 %;38,328 %
2024-08-27;08:56;11:59;184;SVT2;SVT FORUM;1410171-127A;Fakta;Samhällsprogram;-;0,110 %;0,047 %;0,013 %;11;3;1;2,959 %;2,563 %;2,248 %
2024-08-27;09:00;09:06;7;SVT1;RAPPORT;1410139-171A;Nyheter;Huvudnyheter;Nyhetssändningar;1,812 %;0,703 %;0,138 %;185;46;6;36,867 %;32,868 %;27,082 %
2024-08-27;09:00;09:07;8;TV4;NYHETERNA OCH SPORT;5679873;Nyheter;Huvudnyheter;Nyhetssändningar;2,325 %;1,047 %;0,239 %;238;68;10;47,610 %;49,319 %;47,836 %
2024-08-27;09:07;09:09;3;SVT1;LOKALA NYHETER;1410149-171A;Nyheter;Huvudnyheter;Regionala nyhetssändningar;1,758 %;0,632 %;0,081 %;180;41;3;37,991 %;31,212 %;18,599 %
2024-08-27;09:08;09:09;2;TV4;TV4VÄDRET;5692751;Nyheter;Övriga nyheter/Väder;Väder;2,157 %;1,028 %;0,239 %;221;67;10;46,775 %;50,508 %;55,235 %
2024-08-27;09:10;09:27;18;SVT1;MORGONSTUDION;1410112-171A;Blandmagasin;Morgonmagasin;-;1,495 %;0,535 %;0,156 %;153;35;6;33,196 %;27,689 %;29,153 %
2024-08-27;09:10;09:10;1;TV4;NYHETSMORGON;5249026;Blandmagasin;Morgonmagasin;-;2,222 %;1,025 %;0,239 %;227;67;10;47,768 %;49,802 %;48,242 %
2024-08-27;09:15;09:15;1;TV4;NYHETSMORGON;5247709;Blandmagasin;Morgonmagasin;-;1,900 %;0,865 %;0,239 %;194;56;10;43,628 %;45,772 %;44,964 %
2024-08-27;09:16;09:20;5;TV4;KÖKETS MIDDAGSTIPS;8905961;Fakta;Konsumentprogram;-;2,006 %;0,919 %;0,261 %;205;60;10;44,992 %;46,379 %;46,526 %
2024-08-27;09:21;09:25;5;TV4;NYHETSMORGON;5693921;Blandmagasin;Morgonmagasin;-;2,193 %;0,905 %;0,208 %;224;59;8;48,333 %;47,823 %;37,003 %
2024-08-27;09:28;09:29;2;SVT1;VÄDER;1410129-171A;Nyheter;Övriga nyheter/Väder;Väder;1,445 %;0,455 %;0,177 %;148;30;7;31,101 %;23,343 %;29,508 %
2024-08-27;09:30;09:32;3;SVT1;RAPPORT;1410140-171A;Nyheter;Huvudnyheter;Nyhetssändningar;1,425 %;0,564 %;0,205 %;146;37;8;30,596 %;26,952 %;31,177 %
2024-08-27;09:30;09:34;5;TV4;NYHETERNA;5679952;Nyheter;Huvudnyheter;Nyhetssändningar;2,240 %;0,994 %;0,220 %;229;65;9;48,285 %;47,527 %;32,149 %
2024-08-27;09:33;09:35;3;SVT1;LOKALA NYHETER;1410150-171A;Nyheter;Huvudnyheter;Regionala nyhetssändningar;1,417 %;0,606 %;0,276 %;145;39;11;30,717 %;29,339 %;38,692 %
2024-08-27;09:35;09:35;1;TV4;LOKALT VÄDER;5259470;Nyheter;Övriga nyheter/Väder;Väder;2,349 %;1,037 %;0,265 %;240;67;11;50,835 %;51,425 %;38,350 %
2024-08-27;09:36;09:41;6;SVT1;MORGONSTUDION;1410113-171A;Blandmagasin;Morgonmagasin;-;1,380 %;0,482 %;0,154 %;141;31;6;30,430 %;24,910 %;25,279 %
2024-08-27;09:36;10:37;62;TV3;SVENSKA TRUCKERS;10.5240/BA14-FB1A-D3CD-6F4B-15B5-Z;Underhållning, Lek;Lek, Tävling;Dokusåpa/Reality;0,085 %;0,084 %;0,012 %;9;5;0;2,189 %;4,848 %;2,343 %
2024-08-27;09:36;09:46;11;TV4;NYHETSMORGON;5249026;Blandmagasin;Morgonmagasin;-;2,119 %;0,848 %;0,260 %;217;55;10;47,823 %;44,525 %;43,422 %
